formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap,hole_mass_avg
Sr3LiSbO6,0.7200000000000001,3.2683585196481304,3.2683585226561425,1.4632185671472282,5.9508,2.6666452031505004
KTlO2,0.676,1.4720166503329744,1.4720166529223702,5.058796019882054,2.3447,2.6676097743791325
NaSr3SbO6,0.7160000000000001,2.9853458628296567,2.9853458553296273,2.042677956309462,5.7547999999999995,2.671123224822915
Li8PtO6,0.446,2.8106637895486157,2.81066377897607,2.4879564133245538,4.8213,2.7030946606164132
Li5BiO5,0.742,1.838240870122952,5.616461917917268,0.6754940683484144,3.5577,2.7100656187962113
Na2HgO2,0.676,2.5299123184359376,2.5299123184359376,3.070907328508694,3.7485,2.71024398846019
ScBO3,0.76,2.245930705945293,2.245930697087352,3.6853846209568673,6.8485000000000005,2.7257486746631705
Ba3Zr2O7,0.71,3.00301033840406,3.003010338404059,2.181945971884073,5.1017,2.729322216230731
Li3SbO4,0.7360000000000001,2.605645163712972,3.3343587105794112,2.258687948567115,5.9939,2.732897274286499
Cd2SiO4,0.6849999999999998,2.2278766068737217,3.5705642611746655,2.404608754941526,3.8669,2.7343498743299706
LaAsO3,0.512,0.6709919217534802,6.328643730169584,1.2452974494118003,4.1139,2.7483110337782883
LiMgVO4,0.7320000000000001,0.800539005400075,3.588854665503772,3.8866525208951734,5.7452000000000005,2.7586820639330067
