formula,O-2p
Ba4Nb2WO12,0.7460000000000001
Li2HfO3,0.7460000000000001
RbNb(GeO3)3,0.7460000000000001
BaSi3SnO9,0.7460000000000001
Ba5Nb4O15,0.7460000000000002
KY(WO4)2,0.7460000000000002
Ba3Ta2ZnO9,0.747
MgO,0.7470000000000001
Ba4ScReWO12,0.7470000000000001
RbTa(BO3)2,0.7479999999999998
TaInO4,0.7479999999999999
LiSc(WO4)2,0.7479999999999999
Mg3(BO3)2,0.748
Ba2ScNbO6,0.748
Li2WO4,0.748
Ba2ScTaO6,0.748
YNbO4,0.748
Cs2SrV4O12,0.7480000000000001
ScNbO4,0.7480000000000001
Sr2MgWO6,0.7480000000000001
Ba(AsO3)2,0.7480000000000001
KSbWO6,0.7480000000000002
LiY(WO4)2,0.7480000000000002
Sc2Si2O7,0.749
BaBeSiO4,0.7490000000000001
LiNbO3,0.7490000000000001
NaGeSbO5,0.7499999999999999
Mg4Nb2O9,0.7499999999999999
Ba3MgTaNbO9,0.75
Ba3MgTa2O9,0.75
Sr2MgMoO6,0.75
K3Nb3(BO6)2,0.75
Ga2O3,0.75
NbGaO4,0.7500000000000001
Mg4Ta2O9,0.7500000000000002
LiTaO3,0.7509999999999999
Na2TiGeO5,0.7519999999999999
CaCrO4,0.7519999999999999
ScAsO4,0.7519999999999999
KSc(WO4)2,0.752
Ga4GeO8,0.752
BAsO4,0.752
RbSbMoO6,0.752
HfO2,0.752
MgWO4,0.752
CaMoO4,0.752
LiTa3O8,0.752
Mg(GaO2)2,0.752
SrLi2Ta2O7,0.7520000000000001
CaWO4,0.7520000000000001
NbAlO4,0.7520000000000001
La2Sn2O7,0.7520000000000001
NaIn(WO4)2,0.7520000000000002
K3Y(BO3)2,0.7520000000000002
Ca2ScTaO6,0.7520000000000002
Ba3MgNb2O9,0.753
B2O3,0.7530000000000001
MgAlBO4,0.7539999999999999
TaAlO4,0.754
MgSn(BO3)2,0.754
Sb2O5,0.754
Sr2Mg(BO3)2,0.754
YAl3(BO3)4,0.7540000000000001
Ca2Ti3O8,0.7559999999999999
MgAl2O4,0.7559999999999999
K3Ta3(BO6)2,0.756
MgV2O6,0.756
Ba2MgMoO6,0.756
LiAsO3,0.756
BaTi(SiO3)3,0.756
Ba2MgWO6,0.756
InBO3,0.756
LiIn(WO4)2,0.7560000000000002
SrTiO3,0.758
Ca(AsO3)2,0.758
YBO3,0.7580000000000002
KBaY(BO3)2,0.759
HfSiO4,0.7599999999999999
ScVO4,0.7599999999999999
ZrSiO4,0.7599999999999999
ScBO3,0.76
BaTiO3,0.76
Na3Sc(BO3)2,0.7600000000000002
MgTi2O5,0.7619999999999999
Ba2Mg(BO3)2,0.762
La(SbO3)3,0.7620000000000002
LiSbO3,0.7639999999999998
HfGeO4,0.7639999999999999
RbSc(WO4)2,0.7639999999999999
ZrGeO4,0.7639999999999999
Y2Sn2O7,0.764
Rb2Hf2O5,0.764
Y2Pb2O7,0.766
BaNaSc(BO3)2,0.766
TaVO5,0.7660000000000002
NaBe4SbO7,0.767
KNbO3,0.767
